"Reaction"	"Enzymes of a reaction"
PSERTRANSAMPYR-RXN	GCQD-1110-MONOMER
DEOXYRIBODIPYRIMIDINE-PHOTOLYASE-RXN	""
QUINOLINATE-SYNTHA-RXN	GCQD-901-MONOMER
DIHYDROFOLATEREDUCT-RXN	GCQD-1773-MONOMER // GCQD-230-MONOMER
RXN-18709	CPLXCQD-10647
RXN0-6564	GCQD-182-MONOMER
RHAMNULPALDOL-RXN	GCQD-4037-MONOMER
DSERDEAM-RXN	GCQD-2484-MONOMER
RXN0-6732	CPLXCQD-11365
RXN-0	GCQD-1751-MONOMER
ENZRXN-161-RXN	GCQD-1416-MONOMER // GCQD-1636-MONOMER
RXN-20478	GCQD-1801-MONOMER
FRUCTOKINASE-RXN	GCQD-529-MONOMER
1.13.11.15-RXN	GCQD-4490-MONOMER
RXN-2962	GCQD-496-MONOMER
RXN0-7067	GCQD-2042-MONOMER
GART-RXN	GCQD-2606-MONOMER
RXN-11475	GCQD-942-MONOMER
2-OXOPENT-4-ENOATE-HYDRATASE-RXN	GCQD-490-MONOMER
RXN0-7154	GCQD-3109-MONOMER
GLUCONOKIN-RXN	GCQD-3522-MONOMER // GCQD-4397-MONOMER
2.7.1.148-RXN	GCQD-1383-MONOMER
RXN-8073	GCQD-1901-MONOMER
RXN0-7253	GCQD-4155-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
RXN-11837	GCQD-2701-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
GLUTDECARBOX-RXN	GCQD-1651-MONOMER // GCQD-3599-MONOMER
3-DEHYDROQUINATE-SYNTHASE-RXN	GCQD-3475-MONOMER
RXN-8645	""
RXN0-7343	GCQD-2169-MONOMER
RXN-12071	GCQD-2647-MONOMER
GLYCOLALDREDUCT-RXN	GCQD-2865-MONOMER
RXN-9311	GCQD-1855-MONOMER
RXN0-985	""
GPPSYN-RXN	GCQD-555-MONOMER
3.2.2.10-RXN	GCQD-2861-MONOMER
RXN0-1382	GCQD-2492-MONOMER
SHIKIMATE-5-DEHYDROGENASE-RXN	GCQD-3367-MONOMER // GCQD-1861-MONOMER
RXN-12861	""
H2NTPEPIM-RXN	GCQD-2436-MONOMER
RXN0-2001	GCQD-2391-MONOMER
SUCCSEMIALDDEHYDROG-RXN	GCQD-2734-MONOMER
RXN-13202	CPLXCQD-8140
HOMOSERDEHYDROG-RXN	GCQD-4075-MONOMER // GCQD-181-MONOMER
3.5.1.80-RXN	GCQD-3228-MONOMER
RXN0-2604	GCQD-3743-MONOMER
THIOESTER-RXN	GCQD-631-MONOMER // GCQD-590-MONOMER // GCQD-1428-MONOMER
RXN-14002	GCQD-278-MONOMER
IPPISOM-RXN	GCQD-2945-MONOMER
4.3.1.17-RXN	GCQD-2863-MONOMER // GCQD-3205-MONOMER // GCQD-1984-MONOMER // GCQD-3210-MONOMER
RXN0-2943	GCQD-300-MONOMER
RXN-14136	GCQD-3532-MONOMER
L-ASPARTATE-OXID-RXN	GCQD-2681-MONOMER
6PGLUCONOLACT-RXN	GCQD-918-MONOMER
TRYPSYN-RXN	CPLXCQD-8103
RXN-14286	GCQD-3503-MONOMER
LYSDECARBOX-RXN	GCQD-362-MONOMER // GCQD-4263-MONOMER
ACETYLGLUTKIN-RXN	GCQD-4093-MONOMER
RXN0-3901	GCQD-1474-MONOMER
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	GCQD-3282-MONOMER
MANNOSE-ISOMERASE-RXN	GCQD-4014-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
ADENOSINE-NUCLEOSIDASE-RXN	GCQD-212-MONOMER
RXN0-4361	GCQD-377-MONOMER
VAGL-RXN	GCQD-2735-MONOMER // GCQD-1479-MONOMER
RXN-14525	GCQD-4188-MONOMER
N-ACETYLGLUTPREDUCT-RXN	GCQD-4092-MONOMER
RXN0-5061	GCQD-3712-MONOMER
RXN-14812	GCQD-1132-MONOMER // GCQD-423-MONOMER
NICOTINAMID-RXN	GCQD-1937-MONOMER
AMACETOXID-RXN	GCQD-1558-MONOMER
RXN0-5124	""
RXN-15124	GCQD-1132-MONOMER // GCQD-423-MONOMER
OHMETPYRKIN-RXN	GCQD-2238-MONOMER // GCQD-2532-MONOMER
ARYLAMINE-N-ACETYLTRANSFERASE-RXN	GCQD-1621-MONOMER
RXN0-5192	GCQD-4278-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
RXN-15312	GCQD-516-MONOMER // GCQD-3949-MONOMER // GCQD-3814-MONOMER // GCQD-987-MONOMER // GCQD-2426-MONOMER
PANTOTHENATE-KIN-RXN	GCQD-4108-MONOMER
BETA-GLUCURONID-RXN	GCQD-1784-MONOMER
RXN0-5228	GCQD-1502-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
RXN-16009	GCQD-1441-MONOMER
CDPDIGLYPYPHOSPHA-RXN	GCQD-4052-MONOMER
RXN0-5363	GCQD-484-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
RXN-17104	GCQD-2385-MONOMER
RXN0-5402	""
POLYPHOSPHATE-KINASE-RXN	GCQD-2607-MONOMER
CYCPHOSDIESTER-RXN	GCQD-4350-MONOMER
RXN-17778	GCQD-3980-MONOMER // GCQD-2474-MONOMER
RXN0-5515	GCQD-351-MONOMER
DARAB5PISOM-RXN	GCQD-2780-MONOMER // GCQD-3290-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
RXN-17794	GCQD-2473-MONOMER // GCQD-3981-MONOMER
RXN0-6451	""
PUTTRANSAM-RXN	GCQD-3168-MONOMER
DETHIOBIOTIN-SYN-RXN	GCQD-943-MONOMER
RXN-17955	GCQD-4228-MONOMER
R147-RXN	""
DIHYDROOROT-RXN	GCQD-1259-MONOMER
RXN-18738	GCQD-2347-MONOMER
RXN0-6575	""
RIBOFLAVIN-SYN-RXN	GCQD-1831-MONOMER
DTDPGLUCDEHYDRAT-RXN	GCQD-2155-MONOMER // GCQD-3906-MONOMER
RXN-19776	GCQD-3600-MONOMER
RXN0-6938	GCQD-736-MONOMER
RXN-10017	""
ETHAMLY-RXN	CPLXCQD-7991
RXN-20682	GCQD-1492-MONOMER
RXN0-7012	GCQD-1244-MONOMER
RXN-11174	GCQD-1861-MONOMER
FUCPALDOL-RXN	GCQD-2868-MONOMER
1.3.1.2-RXN	""
RXN-3521	""
RXN0-7078	GCQD-1318-MONOMER
GDP-GLUCOSIDASE-RXN	GCQD-2165-MONOMER
2.1.1.77-RXN	GCQD-2815-MONOMER
RXN-7282	""
RXN0-7167	GCQD-1124-MONOMER
GLUCOSE-1-PHOSPHAT-RXN	GCQD-4019-MONOMER // GCQD-1205-MONOMER // GCQD-516-MONOMER // GCQD-3949-MONOMER // GCQD-3814-MONOMER // GCQD-987-MONOMER // GCQD-2426-MONOMER
2.7.7.1-RXN	GCQD-4531-MONOMER
RXN-8340	GCQD-946-MONOMER
RXN0-7280	GCQD-2347-MONOMER
RXN-11840	GCQD-2857-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
GLUTRACE-RXN	GCQD-4101-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
3-NUCLEOTID-RXN	GCQD-4188-MONOMER // GCQD-4350-MONOMER // GCQD-2816-MONOMER
RXN-8675	GCQD-3454-MONOMER
RXN-12093	GCQD-582-MONOMER
GLYCPDIESTER-RXN	GCQD-2373-MONOMER // GCQD-3532-MONOMER
RXN-9718	""
RXN66-521	""
GSPAMID-RXN	GCQD-3089-MONOMER
3.2.2.23-RXN	GCQD-3726-MONOMER
RXN0-1441	GCQD-3131-MONOMER
SORB6PDEHYDROG-RXN	GCQD-2777-MONOMER
RXN-12864	""
HCAMULTI-RXN	CPLXCQD-10640
RXN0-2061	GCQD-1367-MONOMER
SULFITE-REDUCT-RXN	CPLXCQD-8307
RXN-13418	GCQD-1138-MONOMER
HYDROXYHEPTA-DIENEDIOATE-HYDROXY-RXN	GCQD-4488-MONOMER
3.6.1.19-RXN	""
RXN0-262	GCQD-3992-MONOMER
THREODEHYD-RXN	GCQD-3709-MONOMER // GCQD-3679-MONOMER
RXN-14025	GCQD-516-MONOMER // GCQD-823-MONOMER // GCQD-4514-MONOMER // GCQD-2816-MONOMER // GCQD-617-MONOMER // GCQD-4188-MONOMER
ISOCIT-CLEAV-RXN	GCQD-4148-MONOMER
5-NUCLEOTID-RXN	GCQD-617-MONOMER // GCQD-2816-MONOMER // GCQD-4514-MONOMER // GCQD-823-MONOMER // GCQD-4188-MONOMER
RXN0-300	GCQD-3638-MONOMER // GCQD-1231-MONOMER
TRANSALDOL-RXN	GCQD-187-MONOMER // GCQD-2569-MONOMER
RXN-14143	GCQD-617-MONOMER // GCQD-2424-MONOMER // GCQD-4188-MONOMER
L-RHAMNONATE-DEHYDRATASE-RXN	GCQD-2381-MONOMER
ACECOATRANS-RXN	GCQD-1863-MONOMER
RXN0-3381	GCQD-3831-MONOMER
TSA-REDUCT-RXN	GCQD-3216-MONOMER
RXN-14361	GCQD-3708-MONOMER
LYXISOM-RXN	GCQD-4038-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
ACID-PHOSPHATASE-RXN	GCQD-4188-MONOMER
RXN0-3942	GCQD-1475-MONOMER
UGD-RXN	GCQD-2138-MONOMER
RXN-14501	GCQD-1132-MONOMER // GCQD-423-MONOMER
MERCAPYSTRANS-RXN	GCQD-2627-MONOMER
ADENPHOSPHOR-RXN	GCQD-524-MONOMER // GCQD-4525-MONOMER
RXN0-4581	GCQD-3631-MONOMER
XANPRIBOSYLTRAN-RXN	GCQD-418-MONOMER
RXN-14556	""
NAD-KIN-RXN	GCQD-2720-MONOMER
ALCOHOL-DEHYDROG-GENERIC-RXN	GCQD-1636-MONOMER // GCQD-1416-MONOMER
RXN0-5073	GCQD-4535-MONOMER
RXN-14850	GCQD-1132-MONOMER // GCQD-423-MONOMER
NMNAMIDOHYDRO-RXN	GCQD-2772-MONOMER
RXN0-5127	""
RXN-15129	GCQD-2535-MONOMER // GCQD-2528-MONOMER // GCQD-1789-MONOMER // GCQD-3826-MONOMER // GCQD-3106-MONOMER // GCQD-3203-MONOMER
OROPRIBTRANS-RXN	GCQD-3733-MONOMER
ASPAMINOTRANS-RXN	GCQD-1131-MONOMER
RXN0-5200	GCQD-3659-MONOMER
RXN-15346	GCQD-1132-MONOMER // GCQD-423-MONOMER
PEPCARBOX-RXN	GCQD-4090-MONOMER
BETA-UREIDOPROPIONASE-RXN	""
RXN0-5240	GCQD-2657-MONOMER
RXN-16281	GCQD-2311-MONOMER
PHOSACETYLTRANS-RXN	GCQD-2563-MONOMER // GCQD-2430-MONOMER
CELLULOSE-SYNTHASE-UDP-FORMING-RXN	CPLXCQD-11421
RXN0-5383	GCQD-2311-MONOMER
CHORISMATE-SYNTHASE-RXN	GCQD-2462-MONOMER
RXN0-5391	""
RXN-17392	GCQD-1368-MONOMER // GCQD-388-MONOMER // GCQD-2773-MONOMER // GCQD-3017-MONOMER // GCQD-4533-MONOMER
RXN0-5408	GCQD-2639-MONOMER
PPGPPSYN-RXN	GCQD-3741-MONOMER
CYSTEINE-AMINOTRANSFERASE-RXN	GCQD-1131-MONOMER
RXN-17781	GCQD-2473-MONOMER // GCQD-3981-MONOMER
RXN0-6258	""
PROLINE-MULTI	""
DCDPKIN-RXN	GCQD-2624-MONOMER
RXN-17797	GCQD-3981-MONOMER // GCQD-2473-MONOMER
RXN0-6461	GCQD-1213-MONOMER
PYRIDOXKIN-RXN	GCQD-1804-MONOMER // GCQD-2532-MONOMER
DHBAMPLIG-RXN	GCQD-746-MONOMER
RXN-17961	GCQD-4226-MONOMER
R170-RXN	GCQD-1306-MONOMER
DIHYDROXYISOVALDEHYDRAT-RXN	GCQD-3889-MONOMER
RXN0-6676	GCQD-1606-MONOMER
RIBOFLAVINSYNREDUC-RXN	GCQD-548-MONOMER
DTMPKI-RXN	GCQD-1295-MONOMER
RXN-19922	GCQD-2055-MONOMER
RXN0-6948	GCQD-1605-MONOMER
RXN-10639	GCQD-1132-MONOMER // GCQD-423-MONOMER
F16BDEPHOS-RXN	GCQD-516-MONOMER // GCQD-917-MONOMER // GCQD-2985-MONOMER // GCQD-4059-MONOMER // GCQD-4363-MONOMER
1.1.1.251-RXN	GCQD-2225-MONOMER
RXN-20914	GCQD-777-MONOMER
RXN0-7020	GCQD-384-MONOMER // GCQD-3110-MONOMER
RXN-11211	""
GABATRANSAM-RXN	GCQD-1479-MONOMER // GCQD-2735-MONOMER
1PFRUCTPHOSN-RXN	GCQD-2304-MONOMER
RXN-4821	""
RXN0-7081	GCQD-2457-MONOMER
GDPMANMANHYDRO-RXN	GCQD-2165-MONOMER
2.3.1.157-RXN	GCQD-3848-MONOMER
RXN-7609	GCQD-3485-MONOMER // GCQD-823-MONOMER // GCQD-4514-MONOMER // GCQD-2816-MONOMER // GCQD-617-MONOMER // GCQD-4188-MONOMER
RXN0-7219	GCQD-484-MONOMER
GLUCUROISOM-RXN	GCQD-3187-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
RXN-8348	GCQD-992-MONOMER
RXN0-7291	GCQD-1928-MONOMER
RXN-11843	GCQD-238-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
GLY3KIN-RXN	GCQD-650-MONOMER
3-SULFINYL-PYRUVATE-SPON-RXN	""
RXN-8888	""
RXN0-7352	GCQD-2861-MONOMER
RXN-12132	""
GLYOXI-RXN	GCQD-1819-MONOMER
RXN-9951	GCQD-1334-MONOMER
RXN-12539	""
GTP-CYCLOHYDRO-I-RXN	GCQD-2289-MONOMER
RXN0-1602	GCQD-3008-MONOMER // GCQD-2847-MONOMER
SPERMIDINESYN-RXN	GCQD-298-MONOMER
RXN-12871	""
HISTALDEHYD-RXN	GCQD-2130-MONOMER
TAGAALDOL-RXN	CPLXCQD-9548 // GCQD-2231-MONOMER
RXN-13460	""
IGPSYN-RXN	GCQD-1437-MONOMER
325-BISPHOSPHATE-NUCLEOTIDASE-RXN	GCQD-4351-MONOMER
RXN0-2625	CPLXCQD-7153
THREOSPON-RXN	""
RXN-14073	GCQD-3532-MONOMER // GCQD-2373-MONOMER
KDGALDOL-RXN	GCQD-3217-MONOMER
5.3.1.17-RXN	GCQD-2914-MONOMER
RXN0-303	GCQD-4223-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
TREHALOSE6PSYN-RXN	GCQD-2065-MONOMER
RXN-14181	GCQD-516-MONOMER
LCARNCOALIG-RXN	GCQD-219-MONOMER
ACETATEKIN-RXN	GCQD-2020-MONOMER // GCQD-2429-MONOMER
RXN0-3521	GCQD-2388-MONOMER
UDP-NACMUR-ALA-LIG-RXN	GCQD-270-MONOMER
RXN-14382	GCQD-2636-MONOMER
MALATE-DEHYDROGENASE-ACCEPTOR-RXN	GCQD-2345-MONOMER
ACONITATEHYDR-RXN	GCQD-295-MONOMER // GCQD-1453-MONOMER
URACIL-PRIBOSYLTRANS-RXN	GCQD-2604-MONOMER
RXN-14509	GCQD-516-MONOMER // GCQD-3949-MONOMER // GCQD-3814-MONOMER // GCQD-987-MONOMER // GCQD-2426-MONOMER
METHGLYSYN-RXN	GCQD-1166-MONOMER
ADENYLATECYC-RXN	GCQD-3925-MONOMER
RXN0-4841	GCQD-3458-MONOMER
XYLULOKIN-RXN	GCQD-3651-MONOMER
RXN-14693	GCQD-1132-MONOMER // GCQD-423-MONOMER
NADH-DEHYDROGENASE-RXN	""
ALDEHYDE-DEHYDROGENASE-NADP+-RXN	""
RXN-14904	GCQD-1132-MONOMER // GCQD-423-MONOMER
NUCLEOSIDE-DIP-KIN-RXN	GCQD-2624-MONOMER
AMP-NUCLEOSID-RXN	GCQD-2099-MONOMER // GCQD-2861-MONOMER
RXN-15140	""
OXALODECARB-RXN	GCQD-2021-MONOMER
ASPARTASE-RXN	GCQD-4271-MONOMER
RXN0-5213	GCQD-1940-MONOMER
RXN-15513	GCQD-906-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
PEPSYNTH-RXN	GCQD-1871-MONOMER
BRANCHED-CHAINAMINOTRANSFERILEU-RXN	GCQD-3888-MONOMER
RXN0-5292	GCQD-516-MONOMER // GCQD-617-MONOMER // GCQD-2424-MONOMER // GCQD-4188-MONOMER
RXN-16420	CPLXCQD-8013
PHOSNACMURPENTATRANS-RXN	GCQD-266-MONOMER
PHOSPHASERSYN-RXN	GCQD-2692-MONOMER
CITRATE-PRO-3S-LYASE-THIOLESTERASE-RXN	""
RXN-17700	GCQD-4012-MONOMER
RXN0-5413	CPLXCQD-11379
PREPHENATEDEHYDRAT-RXN	GCQD-2705-MONOMER
CYTIDEAM2-RXN	GCQD-2279-MONOMER
PROPKIN-RXN	GCQD-2429-MONOMER // GCQD-3208-MONOMER
DEHYDDEOXGALACTKIN-RXN	GCQD-3811-MONOMER
RXN-17809	GCQD-948-MONOMER
PYRNUTRANSHYDROGEN-RXN	GCQD-4096-MONOMER
DIACYLGLYKIN-RXN	GCQD-4175-MONOMER
RXN-18258	CPLXCQD-11425
RXN0-6541	GCQD-4050-MONOMER
R303-RXN	GCQD-1054-MONOMER // GCQD-725-MONOMER
DIOHBUTANONEPSYN-RXN	GCQD-3138-MONOMER
RXN-19245	GCQD-859-MONOMER
RXN0-6710	GCQD-4225-MONOMER
RIBOSYLHOMOCYSTEINASE-RXN	GCQD-2759-MONOMER
DUTP-PYROP-RXN	GCQD-2385-MONOMER // GCQD-3731-MONOMER // GCQD-2847-MONOMER
RXN-20024	GCQD-736-MONOMER
RXN0-6957	GCQD-1928-MONOMER
RXN-10814	GCQD-3888-MONOMER // GCQD-1131-MONOMER // GCQD-4187-MONOMER
FHLMULTI-RXN	CPLXCQD-8759
1.1.1.271-RXN	GCQD-2166-MONOMER
RXN-20918	GCQD-777-MONOMER
RXN-11313	GCQD-1902-MONOMER
GALACTOACETYLTRAN-RXN	GCQD-482-MONOMER
2-ISOPROPYLMALATESYN-RXN	GCQD-254-MONOMER
RXN-5921	CPLXCQD-11425
GLCNACPTRANS-RXN	GCQD-3902-MONOMER
2.4.1.58-RXN	""
RXN-7800	""
RXN-11811	""
GLUTAMIN-RXN	GLUTAMINA-CPLX // GLUTAMINB-CPLX // GCQD-2846-MONOMER // GCQD-2613-MONOMER // CPLXCQD-8140 // GCQD-822-MONOMER // CPLXCQD-9617
2.8.1.6-RXN	GCQD-940-MONOMER
RXN-8505	GCQD-4484-MONOMER
RXN0-7313	GCQD-3165-MONOMER
GLYCEROL-1-PHOSPHATASE-RXN	GCQD-2426-MONOMER
RXN-8991	CPLXCQD-7504
RXN0-882	""
RXN-12195	""
GLYOXYLATE-REDUCTASE-NADP+-RXN	GCQD-3638-MONOMER // GCQD-1231-MONOMER
RXN0-1001	GCQD-1205-MONOMER
S-FORMYLGLUTATHIONE-HYDROLASE-RXN	GCQD-2290-MONOMER // GCQD-495-MONOMER
RXN-12583	GCQD-291-MONOMER // CPLXCQD-10724
GUANINE-DEAMINASE-RXN	GCQD-2940-MONOMER
RXN0-1842	""
SUCCCOASYN-RXN	CPLXCQD-10774
RXN-12886	GCQD-1215-MONOMER
TDPFUCACTRANS-RXN	GCQD-3908-MONOMER
RXN-13747	GCQD-1132-MONOMER // GCQD-423-MONOMER
IMP-DEHYDROG-RXN	GCQD-2614-MONOMER
4-HYDROXY-2-KETOPIMELATE-LYSIS-RXN	GCQD-4487-MONOMER
RXN0-271	GCQD-3125-MONOMER // GCQD-1207-MONOMER // GCQD-3831-MONOMER // GCQD-228-MONOMER
THYM-PHOSPH-RXN	GCQD-4523-MONOMER // GCQD-524-MONOMER
RXN-14091	GCQD-4350-MONOMER
KDOTRANS-RXN	GCQD-3724-MONOMER
RXN0-308	GCQD-1849-MONOMER // GCQD-2636-MONOMER
TRIPHOSPHATASE-RXN	GCQD-516-MONOMER // GCQD-3149-MONOMER // GCQD-4358-MONOMER
RXN-14260	GCQD-3502-MONOMER
ACETOLACTREDUCTOISOM-RXN	GCQD-3892-MONOMER
RXN0-361	GCQD-2298-MONOMER // GCQD-212-MONOMER // GCQD-802-MONOMER
UDP-NACMURALGLDAPLIG-RXN	GCQD-264-MONOMER
RXN-14396	""
MALTACETYLTRAN-RXN	GCQD-596-MONOMER
ACYLCOADEHYDROG-RXN	GCQD-1864-MONOMER // GCQD-401-MONOMER
RXN0-4222	GCQD-2403-MONOMER // GCQD-1974-MONOMER
URIDINEKIN-RXN	GCQD-2180-MONOMER
RXN-14512	GCQD-516-MONOMER
METHYLENETHFDEHYDROG-NADP-RXN	GCQD-665-MONOMER
ADOMET-DMK-METHYLTRANSFER-RXN	GCQD-3970-MONOMER
RXN-14753	GCQD-1132-MONOMER // GCQD-423-MONOMER
NADPYROPHOSPHAT-RXN	""
ALKAPHOSPHA-RXN	GCQD-516-MONOMER
RXN0-5114	GCQD-516-MONOMER // GCQD-4188-MONOMER // GCQD-4529-MONOMER
RXN-14992	GCQD-1387-MONOMER
O-SUCCHOMOSERLYASE-RXN	GCQD-4074-MONOMER
ANTHRANSYN-RXN	CPLXCQD-8060
RXN0-5182	GCQD-3503-MONOMER
RXN-15216	GCQD-1673-MONOMER
P-PANTOCYSDECARB-RXN	GCQD-3730-MONOMER
ASPARTATEKIN-RXN	GCQD-181-MONOMER // GCQD-4075-MONOMER // GCQD-4157-MONOMER
RXN0-5217	GCQD-298-MONOMER
RXN-15761	GCQD-4216-MONOMER
PGLUCONDEHYDRAT-RXN	GCQD-2022-MONOMER
BTUR2-RXN	GCQD-1446-MONOMER
RXN0-5297	GCQD-3839-MONOMER
PHOSPHOGLUCMUT-RXN	GCQD-836-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
COBALAMIN5PSYN-RXN	GCQD-2109-MONOMER
RXN-17725	GCQD-516-MONOMER // GCQD-3949-MONOMER // GCQD-3814-MONOMER // GCQD-987-MONOMER // GCQD-2426-MONOMER
D--TARTRATE-DEHYDRATASE-RXN	GCQD-4254-MONOMER
RXN-17787	GCQD-3980-MONOMER // GCQD-2474-MONOMER
RXN0-6368	""
PRPPAMIDOTRANS-RXN	GCQD-2445-MONOMER
DEOXYGLUCONOKIN-RXN	GCQD-3608-MONOMER
RXN0-6483	GCQD-1974-MONOMER // GCQD-1820-MONOMER
PYRUVFORMLY-RXN	""
DIAMINOPIMEPIM-RXN	GCQD-3929-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER // GCQD-1077-MONOMER
RXN-18435	GCQD-3726-MONOMER
RXN0-6555	GCQD-3165-MONOMER
R621-RXN	GCQD-2658-MONOMER
DMK-RXN	GCQD-4064-MONOMER
RXN0-6725	GCQD-3944-MONOMER
RIBULP3EPIM-RXN	GCQD-3472-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
ENOYL-COA-DELTA-ISOM-RXN	GCQD-3981-MONOMER // GCQD-2473-MONOMER
RXN-20410	GCQD-1918-MONOMER
RXN0-6998	GCQD-3582-MONOMER
RXN-10883	""
FORMATETHFLIG-RXN	""
1.1.1.39-RXN	GCQD-1637-MONOMER
RXN-2102	""
RXN0-704	GCQD-3667-MONOMER
RXN-11396	GCQD-278-MONOMER
GALACTURIDYLYLTRANS-RXN	GCQD-909-MONOMER
2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX-RXN	GCQD-2963-MONOMER
RXN-6321	GCQD-2657-MONOMER
RXN0-7115	GCQD-2883-MONOMER
GLUC1PURIDYLTRANS-RXN	GCQD-1413-MONOMER
2.6.1.33-RXN	GCQD-2150-MONOMER
RXN-7948	GCQD-516-MONOMER
RXN-11833	GCQD-2320-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
GLUTATHIONE-PEROXIDASE-RXN	GCQD-1879-MONOMER
2PGADEHYDRAT-RXN	GCQD-2845-MONOMER
RXN-8627	""
RXN0-7318	GCQD-1601-MONOMER
RXN-11941	""
RXN-9025	GCQD-3503-MONOMER
RXN0-961	GCQD-1503-MONOMER
RXN-12274	""
GMP-REDUCT-RXN	GCQD-282-MONOMER
3.2.1.14-RXN	GCQD-3424-MONOMER
RXN0-1241	GCQD-2463-MONOMER
SEDOBISALDOL-RXN	GCQD-2980-MONOMER
RXN-12752	GCQD-4299-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
GUANPRIBOSYLTRAN-RXN	GCQD-418-MONOMER // GCQD-302-MONOMER
RXN0-1863	GCQD-2387-MONOMER
SUCCGLUDESUCC-RXN	GCQD-1913-MONOMER
RXN-13072	GCQD-399-MONOMER
HISTPRATPHYD-RXN	GCQD-2136-MONOMER
RXN0-2382	GCQD-1436-MONOMER // CPLXCQD-8103
THI-P-KIN-RXN	GCQD-551-MONOMER
RXN-13854	CPLXCQD-9715
INORGPYROPHOSPHAT-RXN	GCQD-516-MONOMER // GCQD-4358-MONOMER
4.1.1.81-RXN	""
RXN0-279	GCQD-1849-MONOMER // GCQD-2881-MONOMER
RXN-14115	GCQD-516-MONOMER // GCQD-4350-MONOMER
KDUD-RXN	GCQD-2913-MONOMER
RXN-14282	GCQD-537-MONOMER
LTAA-RXN	GCQD-1073-MONOMER
ACETOOHBUTSYN-RXN	CPLXCQD-8571 // CPLXCQD-7410 // GCQD-3887-MONOMER
RXN0-382	GCQD-3651-MONOMER
UDPGLUCEPIM-RXN	GCQD-910-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
RXN-14473	GCQD-4188-MONOMER
MANNITOL-1-PHOSPHATASE-RXN	GCQD-1896-MONOMER // GCQD-516-MONOMER // GCQD-3949-MONOMER // GCQD-3814-MONOMER // GCQD-987-MONOMER // GCQD-2426-MONOMER
ADCLY-RXN	GCQD-1293-MONOMER
RXN0-4281	GCQD-384-MONOMER // GCQD-1950-MONOMER // GCQD-3101-MONOMER // GCQD-3110-MONOMER // GCQD-3109-MONOMER
UROGENIIISYN-RXN	GCQD-3923-MONOMER
RXN-14515	GCQD-1132-MONOMER // GCQD-423-MONOMER
METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN	GCQD-336-MONOMER
AICARSYN-RXN	GCQD-1329-MONOMER
RXN0-5040	CPLXCQD-7500
RXN-14808	GCQD-1132-MONOMER // GCQD-423-MONOMER
NANE-RXN	GCQD-3311-MONOMER
ALLOSE-KINASE-RXN	GCQD-4217-MONOMER
RXN0-5120	GCQD-3722-MONOMER
RXN-15119	CPLXCQD-11396 // CPLXCQD-11377 // GCQD-293-MONOMER
OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-RXN	GCQD-814-MONOMER
RXN0-5186	GCQD-2762-MONOMER // GCQD-516-MONOMER // GCQD-3949-MONOMER // GCQD-3814-MONOMER // GCQD-987-MONOMER // GCQD-2426-MONOMER
RXN-15296	GCQD-4014-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
PALMITOYL-COA-HYDROLASE-RXN	GCQD-590-MONOMER // GCQD-1428-MONOMER // GCQD-631-MONOMER
ATP-PYROPHOSPHATASE-RXN	GCQD-1108-MONOMER // GCQD-2847-MONOMER
RXN0-5224	GCQD-303-MONOMER // GCQD-479-MONOMER
PGPPHOSPHA-RXN	GCQD-2667-MONOMER // GCQD-552-MONOMER // GCQD-1455-MONOMER
CARBOXYLESTERASE-RXN	GCQD-3498-MONOMER // GCQD-4322-MONOMER
RXN0-5305	GCQD-1132-MONOMER // GCQD-423-MONOMER
RXN-16660	GCQD-1847-MONOMER // GCQD-1128-MONOMER
PNKIN-RXN	GCQD-2532-MONOMER
COBINPGUANYLYLTRANS-RXN	GCQD-2110-MONOMER
RXN-17754	GCQD-4251-MONOMER
