"Reaction"	"Enzymes of a reaction"
2OXOGLUTARATEDEH-RXN	CPLXCQD-10725
RXN-8626	""
RXN-11573	GCQD-1992-MONOMER
RXN0-7317	GCQD-3168-MONOMER
RXN-11637	GCQD-3239-MONOMER
GLYCEROL-KIN-RXN	GCQD-4060-MONOMER
3.1.13.3-RXN	GCQD-4294-MONOMER
RXN-11586	GCQD-2623-MONOMER
RXN-8999	GCQD-350-MONOMER
RXN0-901	CPLXCQD-7033
RXN-11591	GCQD-3374-MONOMER
RXN-12198	GCQD-3707-MONOMER
GMKALT-RXN	GCQD-3739-MONOMER
RXN-11596	GCQD-972-MONOMER
3.1.3.74-RXN	GCQD-516-MONOMER // GCQD-584-MONOMER // GCQD-917-MONOMER // GCQD-3949-MONOMER
RXN0-6515	GCQD-3548-MONOMER
SAMDECARB-RXN	""
RXN-12611	GCQD-4127-MONOMER
GUANOSINEKIN-RXN	GCQD-614-MONOMER
RXN0-1862	GCQD-2389-MONOMER
SUCCGLUALDDEHYD-RXN	GCQD-1915-MONOMER
RXN-11635	GCQD-3179-MONOMER
RXN-12949	""
HISTOLDEHYD-RXN	GCQD-2130-MONOMER
RXN-11576	GCQD-4511-MONOMER
RXN-11845	GCQD-3272-MONOMER
RXN0-2381	GCQD-1435-MONOMER // CPLXCQD-8103
TETRAACYLDISACC4KIN-RXN	GCQD-1118-MONOMER
RXN-11589	GCQD-2877-MONOMER
RXN-13853	GCQD-725-MONOMER
INOPHOSPHOR-RXN	GCQD-524-MONOMER // GCQD-4525-MONOMER
RXN-11601	GCQD-2851-MONOMER
RXN-11593	GCQD-2006-MONOMER
4-NITROPHENYLPHOSPHATASE-RXN	GCQD-516-MONOMER // GCQD-617-MONOMER
RXN-11600	GCQD-1062-MONOMER
RXN-14113	GCQD-4350-MONOMER
KDPGALDOL-RXN	GCQD-2021-MONOMER
RXN-11633	GCQD-233-MONOMER
RXN0-313	GCQD-990-MONOMER // GCQD-4081-MONOMER
RXN-14281	GCQD-537-MONOMER
LIPIDXSYNTHESIS-RXN	GCQD-660-MONOMER
RXN-11867	GCQD-2638-MONOMER
ACETOOHBUTREDUCTOISOM-RXN	GCQD-3892-MONOMER
RXN0-3741	GCQD-2424-MONOMER // GCQD-617-MONOMER // GCQD-4188-MONOMER
RXN-12480	GCQD-2682-MONOMER
UDPGLCNACEPIM-RXN	GCQD-3904-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
RXN-14409	GCQD-1132-MONOMER // GCQD-423-MONOMER
2.1.1.34-RXN	GCQD-3742-MONOMER
MALTODEXGLUCOSID-RXN	""
ACYLPHOSPHATASE-RXN	GCQD-1171-MONOMER
UROGENDECARBOX-RXN	GCQD-4131-MONOMER
RXN-1961	GCQD-364-MONOMER
RXN-14514	GCQD-516-MONOMER
METHYLMALONYL-COA-MUT-RXN	GCQD-2972-MONOMER
AGMATIN-RXN	GCQD-2991-MONOMER
RXN0-1321	GCQD-540-MONOMER
TRNA-URACIL-5--METHYLTRANSFERASE-RXN	GCQD-4099-MONOMER
RXN-14807	GCQD-1132-MONOMER // GCQD-423-MONOMER
RXN-11866	GCQD-2638-MONOMER
NAG6PDEACET-RXN	GCQD-825-MONOMER
RXN0-5144	GCQD-2457-MONOMER
ALLANTOINASE-RXN	GCQD-648-MONOMER
RXN-12458	GCQD-2713-MONOMER
RXN0-5118	GCQD-3713-MONOMER
RXN0-6274	GCQD-4303-MONOMER
O-SUCCINYLBENZOATE-COA-SYN-RXN	GCQD-2396-MONOMER
ARGDECARBOX-RXN	GCQD-2992-MONOMER // GCQD-4249-MONOMER
RXN0-5185	GCQD-3833-MONOMER // GCQD-516-MONOMER
RXN-15293	GCQD-2073-MONOMER
PABASYN-RXN	CPLXCQD-8080
TRNA-GUANINE-N7--METHYLTRANSFERASE-RXN	GCQD-3014-MONOMER
ASPDECARBOX-RXN	""
RXN0-5223	GCQD-2223-MONOMER
RXN0-1281	GCQD-2276-MONOMER // GCQD-3346-MONOMER // GCQD-4182-MONOMER
PGLYCEROLTRANSI-RXN	GCQD-4498-MONOMER
RXN-11865	GCQD-3699-MONOMER
CARBOXY-OXOHEPT-ENEDIOATE-DECARBOXY-RXN	GCQD-4492-MONOMER
RXN0-5304	GCQD-3868-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
RXN-12104	GCQD-4298-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
RXN0-5422	GCQD-321-MONOMER
PMPOXI-RXN	GCQD-1806-MONOMER
COBINAMIDEKIN-RXN	GCQD-2110-MONOMER
RXN-17745	GCQD-516-MONOMER // GCQD-3949-MONOMER // GCQD-3814-MONOMER // GCQD-987-MONOMER // GCQD-2426-MONOMER
