Gene Name	Accession-1	Accession-2
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12004	b2123	ECK2115
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10685	b3258	ECK3245
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11760	b1457	ECK1451
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6786	b1492	ECK1486
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7879	b4248	ECK4242
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6561	b1069	ECK1054
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11462	b4482	ECK3809
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10544	b1677	ECK1673
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7673	b3219	ECK3208
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11119	b1088	ECK1074
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6418	b0815	ECK0804
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7538	b2971	ECK2966
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7469	b2849	ECK2847
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10462	b1829	ECK1828
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7339	b2545	ECK2542
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7181	b2274	ECK2268
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6265	b0489	ECK0483
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7045	b1952	ECK1950
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6946	b1751	ECK1749
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G0-8892	b4599	ECK4409
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6703	b1381	ECK1378
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6578	b1121	ECK1107
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10260	b0595	ECK0588
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6401	b0771	ECK0760
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6166	b0295	ECK0294
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12800	b3194	ECK3183
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G0-17047	b4801	ECK4658
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G0-17027	b4781	ECK4638
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12587	b4356	ECK4346
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G0-16751	b4757	ECK4614
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G0-16734	b4739	ECK4596
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12400	b1663	ECK1659
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G0-16673	b4672	ECK4487
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G0-10595	b4604	ECK4413
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10007	b2307	ECK2301
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G0-10456	b4538	ECK2000
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12405	b1220	ECK1214
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12236	b3502	ECK3487
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12214	b3468	ECK3452
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11985	b2032	ECK2026
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12141	b1660	ECK1656
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11697	b3677	ECK3668
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7829	b4127	ECK4120
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12077	b3478	ECK3462
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11342	b1242	ECK1236
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7654	b3160	ECK3148
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11686	b3657	ECK3647
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11059	b2319	ECK2313
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7527	b2951	ECK2946
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11614	b4112	ECK4105
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7460	b2832	ECK2828
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7318	b2510	ECK2506
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11499	b3184	ECK3173
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7174	b2267	ECK2261
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7026	b1877	ECK1878
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11393	b1185	ECK1173
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6930	b1725	ECK1723
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6785	b1491	ECK1485
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7889	b4262	ECK4255
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6659	b1321	ECK1317
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6513	b0992	ECK0983
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11295	b3785	ECK3777
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6288	b4572	ECK0512
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6111	b0227	ECK0228
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7618	b3104	ECK3095
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G0-17044	b4798	ECK4655
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G0-17041	b4795	ECK4652
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11180	b3291	ECK3277
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G0-17024	b4778	ECK4635
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G0-16748	b4754	ECK4611
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7352	b2595	ECK2593
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G0-16731	b4736	ECK4593
