repl,seqtype,line,target_id,est_counts,eff_length,length,tpm,subgroup,mix1.conc.attomols.ul,mix2.conc.attomols.ul,expected.fc.ratio,log2(mix1.over.mix2),dilution,amount.added,molecules_of_seq
rep1,ribo,Ara-1,ERC_00099,0,1326,1350,0,C,14.6484375,21.9726563,0.67,-0.58,10,0.761,671315.8155761721
rep1,ribo,Ara-1,ERC_00104,0,1998,2022,0,B,0.22888184,0.22888184,1,0,10,0.761,10489.30980455594
rep1,ribo,Ara-1,ERC_00108,0,998,1022,0,A,937.5,234.375,4,2,10,0.761,42964212.19687501
rep1,ribo,Ara-1,ERC_00109,0,512,536,0,B,0.91552734,0.91552734,1,0,10,0.761,41957.2383016539
rep1,ribo,Ara-1,ERC_00111,0,970,994,0,C,468.75,703.125,0.67,-0.58,10,0.761,21482106.098437507
rep1,ribo,Ara-1,ERC_00112,0,1112,1136,0,D,117.1875,234.375,0.5,-1,10,0.761,5370526.524609377
rep1,ribo,Ara-1,ERC_00113,7,816,840,0.850453086466975,C,3750,5625,0.67,-0.58,10,0.761,171856848.78750005
rep1,ribo,Ara-1,ERC_00116,4,1967,1991,0.20160352053367758,A,468.75,117.1875,4,2,10,0.761,21482106.098437507
rep1,ribo,Ara-1,ERC_00117,0,1112,1136,0,B,0.05722046,0.05722046,1,0,10,0.761,2622.327451138985
rep1,ribo,Ara-1,ERC_00120,0,512,536,0,C,0.91552734,1.37329102,0.67,-0.58,10,0.761,41957.2383016539
rep1,ribo,Ara-1,ERC_00123,0,998,1022,0,A,0.22888184,0.05722046,4,2,10,0.761,10489.30980455594
rep1,ribo,Ara-1,ERC_00126,0,1094,1118,0,B,14.6484375,14.6484375,1,0,10,0.761,671315.8155761721
rep1,ribo,Ara-1,ERC_00130,68,1035,1059,6.513449394324294,A,30000,7500,4,2,10,0.761,1374854790.3000004
rep1,ribo,Ara-1,ERC_00131,0,747,771,0,A,117.1875,29.296875,4,2,10,0.761,5370526.524609377
rep1,ribo,Ara-1,ERC_00134,0,250,274,0,A,1.83105469,0.45776367,4,2,10,0.761,83914.47706159273
rep1,ribo,Ara-1,ERC_00136,1,1009,1033,0.09825424303511986,A,1875,468.75,4,2,10,0.761,85928424.39375003
rep1,ribo,Ara-1,ERC_00137,0,513,537,0,D,0.91552734,1.83105469,0.5,-1,10,0.761,41957.2383016539
rep1,ribo,Ara-1,ERC_00138,0,1000,1024,0,B,0.11444092,0.11444092,1,0,10,0.761,5244.65490227797
rep1,ribo,Ara-1,ERC_00142,0,469,493,0,B,0.22888184,0.22888184,1,0,10,0.761,10489.30980455594
rep1,ribo,Ara-1,ERC_00143,0,760,784,0,C,3.66210938,5.49316406,0.67,-0.58,10,0.761,167828.95412318545
rep1,ribo,Ara-1,ERC_00144,0,514,538,0,A,29.296875,7.32421875,4,2,10,0.761,1342631.6311523442
rep1,ribo,Ara-1,ERC_00145,1,1018,1042,0.09738559059178382,C,937.5,1406.25,0.67,-0.58,10,0.761,42964212.19687501
rep1,ribo,Ara-1,ERC_00147,0,999,1023,0,A,0.91552734,0.22888184,4,2,10,0.761,41957.2383016539
rep1,ribo,Ara-1,ERC_00148,0,470,494,0,B,14.6484375,14.6484375,1,0,10,0.761,671315.8155761721
rep1,ribo,Ara-1,ERC_00150,0,719,743,0,B,3.66210938,3.66210938,1,0,10,0.761,167828.95412318545
rep1,ribo,Ara-1,ERC_00154,0,513,537,0,A,7.32421875,1.83105469,4,2,10,0.761,335657.90778808604
rep1,ribo,Ara-1,ERC_00156,0,470,494,0,A,0.45776367,0.11444092,4,2,10,0.761,20978.61915082695
rep1,ribo,Ara-1,ERC_00157,0,995,1019,0,C,7.32421875,10.9863281,0.67,-0.58,10,0.761,335657.90778808604
rep1,ribo,Ara-1,ERC_00158,0,1003,1027,0,B,0.45776367,0.45776367,1,0,10,0.761,20978.61915082695
rep1,ribo,Ara-1,ERC_00160,0,719,743,0,D,7.32421875,14.6484375,0.5,-1,10,0.761,335657.90778808604
rep1,ribo,Ara-1,ERC_00162,0,499,523,0,C,58.59375,87.890625,0.67,-0.58,10,0.761,2685263.2623046883
rep1,ribo,Ara-1,ERC_00163,0,519,543,0,D,14.6484375,29.296875,0.5,-1,10,0.761,671315.8155761721
