NAME,ASSOCIATION,EXPERIMENT,line,repl,LOCATION,POSITION,SHAPE,SHAPE.area,SHAPE.length,SHAPE.perimeter,SHAPE.width.mean,ZSCORE,volume,mutator,age
b65,0,Lenski strains,Ara-1,1,(x=126.87 y=39.91),3,1,4.2539062,4.8785124,10.681143,0.92335564,8.159574,2.1778303613291445,FALSE,young
b66,0,Lenski strains,Ara-1,1,(x=3.49 y=49.38),3,1,3.17103,3.5168467,8.003232,0.97137606,7.634948,1.7375081558225245,FALSE,young
b67,0,Lenski strains,Ara-1,1,(x=10.96 y=53.23),3,1,3.6545546,3.5162446,8.150026,1.1558892,7.7971907,2.459858425126006,FALSE,young
b69,0,Lenski strains,Ara-1,1,(x=20.18 y=110.86),3,1,3.2012062,3.2302067,7.5262275,1.1119647,7.924535,2.091273994592149,FALSE,young
b70,0,Lenski strains,Ara-1,1,(x=22.61 y=112.79),3,1,3.1184914,2.9482567,7.1061273,1.1937338,7.999914,2.1997782222650253,FALSE,young
b71,0,Lenski strains,Ara-1,1,(x=33.46 y=38.28),3,1,3.1777153,3.4385853,7.857458,1.0183666,7.5651593,1.8671822863857936,FALSE,young
b72,0,Lenski strains,Ara-1,1,(x=36.52 y=39.84),3,1,3.271632,3.3002574,7.698445,1.0947167,7.7458105,2.0708561042663005,FALSE,young
b73,0,Lenski strains,Ara-1,1,(x=53.67 y=17.37),3,1,2.9360461,3.4531808,7.8354726,0.9196539,7.7248125,1.5292087475745164,FALSE,young
b74,0,Lenski strains,Ara-1,1,(x=56.28 y=18.49),3,1,3.2912474,3.6884043,8.437281,0.94983304,7.580066,1.7423351046866447,FALSE,young
b75,0,Lenski strains,Ara-1,1,(x=71.43 y=47.73),3,1,2.3659282,2.8461509,6.66045,0.92291254,7.621778,1.269339042820329,FALSE,young
b76,0,Lenski strains,Ara-1,1,(x=72.93 y=49.78),3,1,2.2727203,2.5675297,6.11841,0.958678,7.759534,1.2355479961448403,FALSE,young
b77,0,Lenski strains,Ara-1,1,(x=74.70 y=124.29),3,1,2.7417843,2.8972843,6.881263,1.050178,8.249748,1.6730756076139808,FALSE,young
b78,0,Lenski strains,Ara-1,1,(x=76.68 y=126.48),3,1,2.7383811,2.9516277,6.9604607,1.0249828,8.082989,1.6236535073678346,FALSE,young
b79,0,Lenski strains,Ara-1,1,(x=89.23 y=7.50),3,1,2.684451,2.8715978,6.8424673,1.032524,8.157251,1.602959481257207,FALSE,young
b80,0,Lenski strains,Ara-1,1,(x=92.01 y=8.63),3,1,2.6534922,3.0417938,7.08432,0.9514792,7.900758,1.4418729358875595,FALSE,young
b81,0,Lenski strains,Ara-1,1,(x=98.64 y=119.99),3,1,2.5179343,2.664241,6.4686794,1.0456948,8.256412,1.5253939741544549,FALSE,young
b82,0,Lenski strains,Ara-1,1,(x=101.11 y=120.66),3,1,2.4392843,2.4868698,6.1555448,1.1070952,8.170943,1.5959585448490952,FALSE,young
b83,0,Lenski strains,Ara-1,1,(x=117.32 y=110.26),3,1,1.9987688,2.261867,5.563914,1.0048317,7.855442,1.1957829087915552,FALSE,young
b84,0,Lenski strains,Ara-1,1,(x=118.05 y=112.63),3,1,2.5402439,2.7431607,6.6062393,1.0196959,7.835874,1.4934518277195248,FALSE,young
b85,0,Lenski strains,Ara-1,1,(x=122.66 y=70.05),3,1,3.5868938,4.058951,9.131641,0.93790144,7.9806156,1.869505882922505,FALSE,young
b86,0,Lenski strains,Ara-1,1,(x=126.19 y=71.65),3,1,3.2254062,3.684309,8.309835,0.9468467,7.9625835,1.7294738869673696,FALSE,young
b87,0,Lenski strains,Ara-1,1,(x=6.28 y=70.18),4,1,3.6693487,4.0030994,9.041537,0.97867244,7.481499,2.0075654523118103,FALSE,young
b88,0,Lenski strains,Ara-1,1,(x=23.52 y=40.98),4,1,3.8807914,3.8447933,8.841437,1.0888684,7.3471513,2.3868350552229165,FALSE,young
b89,0,Lenski strains,Ara-1,1,(x=25.96 y=7.12),4,1,3.6743293,3.757466,8.6481,1.0530733,7.1775813,2.1817796421668136,FALSE,young
b90,0,Lenski strains,Ara-1,1,(x=27.38 y=33.73),4,1,4.0473557,4.1274366,9.353845,1.0538206,7.1781907,2.4000064065222597,FALSE,young
b91,0,Lenski strains,Ara-1,1,(x=27.59 y=83.16),4,1,3.3540633,3.440493,7.984093,1.0626433,7.619489,2.03420312677777,FALSE,young
b92,0,Lenski strains,Ara-1,1,(x=37.61 y=82.76),4,1,3.8888266,3.8913689,8.937099,1.0734247,7.6465206,2.3477086211242604,FALSE,young
b93,0,Lenski strains,Ara-1,1,(x=43.96 y=24.03),4,1,3.8800352,4.3459697,9.684899,0.94822377,7.1975584,2.046006421215047,FALSE,young
b94,0,Lenski strains,Ara-1,1,(x=56.75 y=126.42),4,1,3.9128375,4.138967,9.356755,1.0082638,7.2581043,2.2031239709554433,FALSE,young
b95,0,Lenski strains,Ara-1,1,(x=60.71 y=79.23),4,1,3.972014,4.494429,9.952444,0.9408919,7.505331,2.0833037997754977,FALSE,young
b96,0,Lenski strains,Ara-1,1,(x=71.15 y=14.88),4,1,4.354771,4.9252067,10.853728,0.92900765,7.2925267,2.2256745736234413,FALSE,young
b97,0,Lenski strains,Ara-1,1,(x=79.34 y=74.98),4,1,4.117781,4.3073106,9.698855,1.018424,7.1734233,2.339171493291164,FALSE,young
b98,0,Lenski strains,Ara-1,1,(x=92.44 y=10.61),4,1,3.9843976,4.3058367,9.659874,0.9834914,7.185833,2.1807069649419604,FALSE,young
b99,0,Lenski strains,Ara-1,1,(x=103.87 y=46.24),4,1,3.741736,4.3201866,9.696447,0.9129025,6.922013,1.8851673986567008,FALSE,young
b100,0,Lenski strains,Ara-1,1,(x=105.42 y=85.32),4,1,3.0900376,3.7213774,8.386748,0.88376415,7.155783,1.521861389527873,FALSE,young
b101,0,Lenski strains,Ara-1,1,(x=124.82 y=104.08),4,1,3.4416938,4.102281,9.135586,0.89242715,6.643489,1.7106831445542683,FALSE,young
b102,0,Lenski strains,Ara-1,1,(x=125.60 y=80.53),4,1,3.0087407,3.5493152,8.069738,0.91037416,6.8714967,1.5402209833456333,FALSE,young
b103,0,Lenski strains,Ara-1,1,(x=5.55 y=117.27),4,1,2.4734573,2.6719987,6.538332,1.009439,7.454545,1.425591261123668,FALSE,young
b104,0,Lenski strains,Ara-1,1,(x=8.13 y=117.71),4,1,2.1846645,2.5567157,6.1731315,0.9352083,7.364346,1.1708405787783156,FALSE,young
b105,0,Lenski strains,Ara-1,1,(x=10.51 y=103.58),4,1,2.2066903,2.2754312,5.8846736,1.0615315,7.4648485,1.3425426861950602,FALSE,young
b106,0,Lenski strains,Ara-1,1,(x=12.74 y=104.16),4,1,2.411303,2.2451982,5.9155393,1.2158407,7.551849,1.7378274868597192,FALSE,young
b107,0,Lenski strains,Ara-1,1,(x=11.19 y=125.02),4,1,2.2730513,2.2935767,5.9999814,1.0704557,7.682495,1.3760977617542227,FALSE,young
b108,0,Lenski strains,Ara-1,1,(x=13.21 y=126.17),4,1,2.247717,2.190479,5.873792,1.1094786,7.528254,1.4118077966722642,FALSE,young
